stockCode,market,areaCode
000157,a,cn
002043,a,cn
002154,a,cn
002233,a,cn
002267,a,cn
002416,a,cn
002540,a,cn
002563,a,cn
002572,a,cn
002601,a,cn
002737,a,cn
002756,a,cn
002867,a,cn
301109,a,cn
000408,a,cn
000429,a,cn
600012,a,cn
600015,a,cn
600016,a,cn
600028,a,cn
600036,a,cn
600039,a,cn
600057,a,cn
600064,a,cn
600096,a,cn
600123,a,cn
600153,a,cn
600177,a,cn
600188,a,cn
600256,a,cn
600273,a,cn
600282,a,cn
600295,a,cn
600348,a,cn
600350,a,cn
600373,a,cn
600398,a,cn
600461,a,cn
600502,a,cn
600546,a,cn
600585,a,cn
600729,a,cn
600737,a,cn
600741,a,cn
600755,a,cn
600757,a,cn
600901,a,cn
600919,a,cn
600938,a,cn
600971,a,cn
600985,a,cn
600997,a,cn
601000,a,cn
601001,a,cn
601006,a,cn
601009,a,cn
601019,a,cn
601077,a,cn
601088,a,cn
601098,a,cn
601101,a,cn
601166,a,cn
601168,a,cn
601169,a,cn
601187,a,cn
601216,a,cn
601225,a,cn
601229,a,cn
601288,a,cn
601318,a,cn
601328,a,cn
601398,a,cn
601598,a,cn
601658,a,cn
601666,a,cn
601668,a,cn
601699,a,cn
601717,a,cn
601818,a,cn
601825,a,cn
601838,a,cn
601857,a,cn
601916,a,cn
601919,a,cn
601928,a,cn
601939,a,cn
601963,a,cn
601988,a,cn
601997,a,cn
601998,a,cn
603565,a,cn
603706,a,cn
603967,a,cn
000651,a,cn
000672,a,cn
000895,a,cn
000090,a,cn
920599,a,cn
000933,a,cn
000983,a,cn

